NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Santa Barbara 
State: CA 
Stationid: 9411340
Prediction Type: Harmonic
From: 20200623 00:00 - 20200722 23:00
Units: Metric
Time Zone: LST_LDT
Datum: MLLW
Interval Type: Hourly

Date 		Day	Time	Pred	
2020/06/23	Tue	00:00	1.74	
2020/06/23	Tue	01:00	1.45	
2020/06/23	Tue	02:00	1.04	
2020/06/23	Tue	03:00	0.59	
2020/06/23	Tue	04:00	0.18	
2020/06/23	Tue	05:00	-0.12	
2020/06/23	Tue	06:00	-0.26	
2020/06/23	Tue	07:00	-0.23	
2020/06/23	Tue	08:00	-0.04	
2020/06/23	Tue	09:00	0.24	
2020/06/23	Tue	10:00	0.56	
2020/06/23	Tue	11:00	0.84	
2020/06/23	Tue	12:00	1.03	
2020/06/23	Tue	13:00	1.10	
2020/06/23	Tue	14:00	1.07	
2020/06/23	Tue	15:00	0.98	
2020/06/23	Tue	16:00	0.88	
2020/06/23	Tue	17:00	0.83	
2020/06/23	Tue	18:00	0.86	
2020/06/23	Tue	19:00	0.99	
2020/06/23	Tue	20:00	1.21	
2020/06/23	Tue	21:00	1.46	
2020/06/23	Tue	22:00	1.69	
2020/06/23	Tue	23:00	1.81	
2020/06/24	Wed	00:00	1.80	
2020/06/24	Wed	01:00	1.63	
2020/06/24	Wed	02:00	1.31	
2020/06/24	Wed	03:00	0.90	
2020/06/24	Wed	04:00	0.47	
2020/06/24	Wed	05:00	0.11	
2020/06/24	Wed	06:00	-0.14	
2020/06/24	Wed	07:00	-0.24	
2020/06/24	Wed	08:00	-0.16	
2020/06/24	Wed	09:00	0.05	
2020/06/24	Wed	10:00	0.35	
2020/06/24	Wed	11:00	0.66	
2020/06/24	Wed	12:00	0.92	
2020/06/24	Wed	13:00	1.08	
2020/06/24	Wed	14:00	1.13	
2020/06/24	Wed	15:00	1.09	
2020/06/24	Wed	16:00	0.99	
2020/06/24	Wed	17:00	0.90	
2020/06/24	Wed	18:00	0.85	
2020/06/24	Wed	19:00	0.89	
2020/06/24	Wed	20:00	1.02	
2020/06/24	Wed	21:00	1.22	
2020/06/24	Wed	22:00	1.44	
2020/06/24	Wed	23:00	1.63	
2020/06/25	Thu	00:00	1.72	
2020/06/25	Thu	01:00	1.68	
2020/06/25	Thu	02:00	1.49	
2020/06/25	Thu	03:00	1.18	
2020/06/25	Thu	04:00	0.79	
2020/06/25	Thu	05:00	0.40	
2020/06/25	Thu	06:00	0.08	
2020/06/25	Thu	07:00	-0.12	
2020/06/25	Thu	08:00	-0.17	
2020/06/25	Thu	09:00	-0.06	
2020/06/25	Thu	10:00	0.17	
2020/06/25	Thu	11:00	0.46	
2020/06/25	Thu	12:00	0.76	
2020/06/25	Thu	13:00	1.00	
2020/06/25	Thu	14:00	1.15	
2020/06/25	Thu	15:00	1.19	
2020/06/25	Thu	16:00	1.13	
2020/06/25	Thu	17:00	1.02	
2020/06/25	Thu	18:00	0.92	
2020/06/25	Thu	19:00	0.86	
2020/06/25	Thu	20:00	0.88	
2020/06/25	Thu	21:00	0.99	
2020/06/25	Thu	22:00	1.15	
2020/06/25	Thu	23:00	1.34	
2020/06/26	Fri	00:00	1.50	
2020/06/26	Fri	01:00	1.57	
2020/06/26	Fri	02:00	1.52	
2020/06/26	Fri	03:00	1.35	
2020/06/26	Fri	04:00	1.06	
2020/06/26	Fri	05:00	0.72	
2020/06/26	Fri	06:00	0.38	
2020/06/26	Fri	07:00	0.10	
2020/06/26	Fri	08:00	-0.05	
2020/06/26	Fri	09:00	-0.06	
2020/06/26	Fri	10:00	0.07	
2020/06/26	Fri	11:00	0.30	
2020/06/26	Fri	12:00	0.59	
2020/06/26	Fri	13:00	0.89	
2020/06/26	Fri	14:00	1.12	
2020/06/26	Fri	15:00	1.25	
2020/06/26	Fri	16:00	1.27	
2020/06/26	Fri	17:00	1.20	
2020/06/26	Fri	18:00	1.07	
2020/06/26	Fri	19:00	0.94	
2020/06/26	Fri	20:00	0.84	
2020/06/26	Fri	21:00	0.82	
2020/06/26	Fri	22:00	0.89	
2020/06/26	Fri	23:00	1.01	
2020/06/27	Sat	00:00	1.17	
2020/06/27	Sat	01:00	1.31	
2020/06/27	Sat	02:00	1.39	
2020/06/27	Sat	03:00	1.36	
2020/06/27	Sat	04:00	1.22	
2020/06/27	Sat	05:00	0.98	
2020/06/27	Sat	06:00	0.69	
2020/06/27	Sat	07:00	0.40	
2020/06/27	Sat	08:00	0.17	
2020/06/27	Sat	09:00	0.06	
2020/06/27	Sat	10:00	0.07	
2020/06/27	Sat	11:00	0.21	
2020/06/27	Sat	12:00	0.45	
2020/06/27	Sat	13:00	0.75	
2020/06/27	Sat	14:00	1.04	
2020/06/27	Sat	15:00	1.26	
2020/06/27	Sat	16:00	1.38	
