NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Daily Tide Predictions
StationName: Santa Barbara 
State: CA 
Stationid: 9411340
Prediction Type: Harmonic
From: 20200723 00:00 - 20200822 23:00
Units: Metric
Time Zone: LST_LDT
Datum: MLLW
Interval Type: Hourly

Date 		Day	Time	Pred	
2020/07/23	Thu	00:00	1.86	
2020/07/23	Thu	01:00	1.64	
2020/07/23	Thu	02:00	1.27	
2020/07/23	Thu	03:00	0.82	
2020/07/23	Thu	04:00	0.37	
2020/07/23	Thu	05:00	0.01	
2020/07/23	Thu	06:00	-0.19	
2020/07/23	Thu	07:00	-0.20	
2020/07/23	Thu	08:00	-0.04	
2020/07/23	Thu	09:00	0.27	
2020/07/23	Thu	10:00	0.63	
2020/07/23	Thu	11:00	0.96	
2020/07/23	Thu	12:00	1.20	
2020/07/23	Thu	13:00	1.30	
2020/07/23	Thu	14:00	1.25	
2020/07/23	Thu	15:00	1.10	
2020/07/23	Thu	16:00	0.92	
2020/07/23	Thu	17:00	0.76	
2020/07/23	Thu	18:00	0.68	
2020/07/23	Thu	19:00	0.73	
2020/07/23	Thu	20:00	0.90	
2020/07/23	Thu	21:00	1.15	
2020/07/23	Thu	22:00	1.43	
2020/07/23	Thu	23:00	1.65	
2020/07/24	Fri	00:00	1.75	
2020/07/24	Fri	01:00	1.69	
2020/07/24	Fri	02:00	1.46	
2020/07/24	Fri	03:00	1.11	
2020/07/24	Fri	04:00	0.69	
2020/07/24	Fri	05:00	0.31	
2020/07/24	Fri	06:00	0.03	
2020/07/24	Fri	07:00	-0.10	
2020/07/24	Fri	08:00	-0.06	
2020/07/24	Fri	09:00	0.15	
2020/07/24	Fri	10:00	0.46	
2020/07/24	Fri	11:00	0.81	
2020/07/24	Fri	12:00	1.11	
2020/07/24	Fri	13:00	1.31	
2020/07/24	Fri	14:00	1.37	
2020/07/24	Fri	15:00	1.29	
2020/07/24	Fri	16:00	1.12	
2020/07/24	Fri	17:00	0.92	
2020/07/24	Fri	18:00	0.75	
2020/07/24	Fri	19:00	0.66	
2020/07/24	Fri	20:00	0.70	
2020/07/24	Fri	21:00	0.84	
2020/07/24	Fri	22:00	1.06	
2020/07/24	Fri	23:00	1.29	
2020/07/25	Sat	00:00	1.48	
2020/07/25	Sat	01:00	1.55	
2020/07/25	Sat	02:00	1.49	
2020/07/25	Sat	03:00	1.28	
2020/07/25	Sat	04:00	0.97	
2020/07/25	Sat	05:00	0.63	
2020/07/25	Sat	06:00	0.32	
2020/07/25	Sat	07:00	0.11	
2020/07/25	Sat	08:00	0.04	
2020/07/25	Sat	09:00	0.14	
2020/07/25	Sat	10:00	0.36	
2020/07/25	Sat	11:00	0.66	
2020/07/25	Sat	12:00	0.98	
2020/07/25	Sat	13:00	1.25	
2020/07/25	Sat	14:00	1.42	
2020/07/25	Sat	15:00	1.44	
2020/07/25	Sat	16:00	1.34	
2020/07/25	Sat	17:00	1.16	
2020/07/25	Sat	18:00	0.94	
2020/07/25	Sat	19:00	0.75	
2020/07/25	Sat	20:00	0.64	
2020/07/25	Sat	21:00	0.63	
2020/07/25	Sat	22:00	0.73	
2020/07/25	Sat	23:00	0.89	
2020/07/26	Sun	00:00	1.09	
2020/07/26	Sun	01:00	1.25	
2020/07/26	Sun	02:00	1.32	
2020/07/26	Sun	03:00	1.28	
2020/07/26	Sun	04:00	1.13	
2020/07/26	Sun	05:00	0.89	
2020/07/26	Sun	06:00	0.63	
2020/07/26	Sun	07:00	0.40	
2020/07/26	Sun	08:00	0.25	
2020/07/26	Sun	09:00	0.23	
2020/07/26	Sun	10:00	0.34	
2020/07/26	Sun	11:00	0.56	
2020/07/26	Sun	12:00	0.85	
2020/07/26	Sun	13:00	1.14	
2020/07/26	Sun	14:00	1.38	
